url,reason,opened_at,resolved_at
https://www.cabinezero15.com.br/cidades/vargem-grande-paulista.html,HTTP 403,2026-09-12T03:35:50,2026-09-12T08:08:25
https://www.cabinezero15.com.br/cidades/varzea-paulista.html,HTTP 403,2026-09-12T03:35:50,2026-09-12T08:08:25
https://www.cabinezero15.com.br/cidades/vinhedo.html,HTTP 403,2026-09-12T03:35:50,2026-09-12T08:08:25
https://www.cabinezero15.com.br/cidades/votorantim.html,HTTP 403,2026-09-12T03:35:50,2026-09-12T08:08:25
https://www.cabinezero15.com.br/orcamento.html,HTTP 403,2026-09-12T03:35:50,2026-09-12T08:08:25
https://www.cabinezero15.com.br/privacidade.html,HTTP 403,2026-09-12T03:35:50,2026-09-12T08:08:25
https://www.cabinezero15.com.br/segmentos/espelho-magico-aniversario.html,HTTP 403,2026-09-12T03:35:50,2026-09-12T08:08:25
https://www.cabinezero15.com.br/segmentos/espelho-magico-batizado.html,HTTP 403,2026-09-12T03:35:50,2026-09-12T08:08:25
https://www.cabinezero15.com.br/segmentos/espelho-magico-casamento.html,HTTP 403,2026-09-12T03:35:50,2026-09-12T08:08:25
https://www.cabinezero15.com.br/segmentos/espelho-magico-cha-de-bebe.html,HTTP 403,2026-09-12T03:35:50,2026-09-12T08:08:25
https://www.cabinezero15.com.br/segmentos/espelho-magico-corporativo.html,HTTP 403,2026-09-12T03:35:50,2026-09-12T08:08:25
https://www.cabinezero15.com.br/segmentos/espelho-magico-debutante.html,HTTP 403,2026-09-12T03:35:50,2026-09-12T08:08:25
https://www.cabinezero15.com.br/segmentos/espelho-magico-festa-junina.html,HTTP 403,2026-09-12T03:35:50,2026-09-12T08:08:25
https://www.cabinezero15.com.br/segmentos/espelho-magico-festa.html,HTTP 403,2026-09-12T03:35:50,2026-09-12T08:08:25
https://www.cabinezero15.com.br/segmentos/espelho-magico-formatura.html,HTTP 403,2026-09-12T03:35:50,2026-09-12T08:08:25
https://www.cabinezero15.com.br/segmentos/totem-retro-aniversario.html,HTTP 403,2026-09-12T03:35:50,2026-09-12T08:08:25
